assignment_id;pr_number;github_username;pull_request_data;user_id;pull_request_url
2;133;git_username_masked;"{""pr_id"": 0015301300, ""state"": ""open"", ""head_sha"": ""4e462a1fc07ebd81652f79c85e411bd2eb1d0f1e"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9186621825, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-22T06:46:06Z"", ""run_number"": 754, ""updated_at"": ""2024-05-22T06:49:31Z"", ""workflow_url"": ""https://github.com/Git-Organization/fact-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/fact-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/fact-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-22T03:36:10Z""}";user_id_masked;https://github.com/Git-Organization/fact-data-modeling-pub/pull/000
1;75;git_username_masked;"{""pr_id"": 0061405500, ""state"": ""open"", ""head_sha"": ""47f8cb842aa386b857bd9abab6da6ab658b9fab4"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9167127768, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-21T00:59:57Z"", ""run_number"": 650, ""updated_at"": ""2024-05-21T01:01:34Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-17T18:55:04Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
1;1;git_username_masked;"{""pr_id"": 0022806000, ""state"": ""open"", ""head_sha"": ""7f6af8189429c0249651014859bf528e68636da4"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9104843208, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-16T01:06:40Z"", ""run_number"": 28, ""updated_at"": ""2024-05-16T01:10:23Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-16T01:06:37Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
1;2;git_username_masked;"{""pr_id"": 0022909300, ""state"": ""open"", ""head_sha"": ""fd0ad0b07883f0e6caea0046c85ee857aadba15a"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9105012298, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-16T01:26:03Z"", ""run_number"": 36, ""updated_at"": ""2024-05-16T01:29:29Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-16T01:26:00Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
2;74;git_username_masked;"{""pr_id"": 0084501500, ""state"": ""open"", ""head_sha"": ""69be89761727054ac22cf49d481d1902840929ac"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9168763111, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-21T04:19:46Z"", ""run_number"": 484, ""updated_at"": ""2024-05-21T04:21:50Z"", ""workflow_url"": ""https://github.com/Git-Organization/fact-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/fact-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/fact-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-20T14:05:54Z""}";user_id_masked;https://github.com/Git-Organization/fact-data-modeling-pub/pull/000
1;15;git_username_masked;"{""pr_id"": 0023100100, ""state"": ""open"", ""head_sha"": ""44c51a965dcd51c2ca4ce2c760219c4ed924b99a"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9105118477, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-16T01:39:19Z"", ""run_number"": 37, ""updated_at"": ""2024-05-16T01:42:36Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-16T01:39:16Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
2;49;git_username_masked;"{""pr_id"": 0070208700, ""state"": ""open"", ""head_sha"": ""be1735067ba3d606e82756ea8d263691ae644614"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9166109140, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-20T23:03:02Z"", ""run_number"": 418, ""updated_at"": ""2024-05-20T23:07:42Z"", ""workflow_url"": ""https://github.com/Git-Organization/fact-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/fact-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/fact-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-19T05:39:03Z""}";user_id_masked;https://github.com/Git-Organization/fact-data-modeling-pub/pull/000
1;18;git_username_masked;"{""pr_id"": 0024100100, ""state"": ""open"", ""head_sha"": ""0a0bde3fd3bb5f7c9c85dfa6b7508721f07946f9"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9168218400, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-21T03:09:03Z"", ""run_number"": 658, ""updated_at"": ""2024-05-21T03:12:58Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-16T03:13:23Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
2;47;git_username_masked;"{""pr_id"": 0070006600, ""state"": ""open"", ""head_sha"": ""f6adb9098165d23547b01beaf83a0c35cd14b4a7"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9152549270, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-20T02:19:33Z"", ""run_number"": 278, ""updated_at"": ""2024-05-20T02:21:25Z"", ""workflow_url"": ""https://github.com/Git-Organization/fact-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/fact-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/fact-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-19T03:50:44Z""}";user_id_masked;https://github.com/Git-Organization/fact-data-modeling-pub/pull/000
1;29;git_username_masked;"{""pr_id"": 0038200800, ""state"": ""open"", ""head_sha"": ""c2a9f3d80672eef54f700049098fded39a3929f6"", ""workflow_run"": {""fork"": true, ""event"": ""pull_request_target"", ""run_id"": 9115600236, ""status"": ""completed"", ""conclusion"": ""success"", ""created_at"": ""2024-05-16T16:07:59Z"", ""run_number"": 154, ""updated_at"": ""2024-05-16T16:08:18Z"", ""workflow_url"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/actions/runs/run_id"", ""head_repository"": ""Git-Organization/dimensional-data-modeling-pub-git_username""}, ""github_username"": ""git_username"", ""submission_link"": ""https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000"", ""submission_time"": ""2024-05-16T16:07:56Z""}";user_id_masked;https://github.com/Git-Organization/dimensional-data-modeling-pub/pull/000
